Time	Raw	5Hz	25Hz	50Hz	100Hz	200Hz	500Hz	1000Hz
0.031	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0315	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.032	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0325	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.033	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0335	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.034	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0345	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.035	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0355	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.036	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0365	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.037	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0375	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.038	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0385	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.039	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0395	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.04	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0405	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.041	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0415	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.042	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0425	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.043	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0435	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.044	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0445	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.045	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0455	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.046	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0465	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.047	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0475	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.048	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0485	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.049	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0495	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.05	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0505	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.051	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0515	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.052	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0525	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.053	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0535	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.054	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0545	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.055	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0555	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.056	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0565	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.057	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0575	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.058	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0585	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.059	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0595	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.06	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0605	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.061	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0615	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.062	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0625	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.063	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0635	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.064	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0645	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.065	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0655	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.066	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0665	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.067	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0675	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.068	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0685	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.069	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0695	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.07	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0705	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.071	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0715	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.072	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0725	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.073	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0735	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.074	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0745	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.075	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0755	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.076	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0765	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.077	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0775	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.078	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0785	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.079	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0795	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.08	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0805	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.081	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0815	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.082	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0825	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.083	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0835	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.084	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0845	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.085	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0855	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.086	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0865	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.087	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0875	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.088	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0885	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.089	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0895	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.09	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0905	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.091	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0915	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.092	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0925	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.093	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0935	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.094	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0945	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.095	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0955	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.096	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0965	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.097	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0975	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.098	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0985	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.099	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0995	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1005	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.101	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1015	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.102	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1025	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.103	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1035	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.104	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1045	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.105	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1055	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.106	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1065	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.107	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1075	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.108	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1085	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.109	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1095	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.11	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1105	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.111	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1115	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.112	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1125	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.113	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1135	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.114	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1145	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.115	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1155	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.116	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1165	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.117	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1175	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.118	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1185	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.119	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1195	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.12	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1205	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.121	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1215	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.122	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1225	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.123	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1235	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.124	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1245	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.125	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1255	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.126	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1265	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.127	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1275	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.128	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1285	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.129	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1295	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.13	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1305	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.131	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1315	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.132	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1325	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.133	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1335	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.134	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1345	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.135	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1355	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.136	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1365	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.137	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1375	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.138	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1385	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.139	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1395	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.14	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1405	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.141	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1415	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.142	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1425	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.143	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1435	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.144	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1445	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.145	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1455	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.146	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1465	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.147	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1475	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.148	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1485	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.149	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1495	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.15	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1505	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.151	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1515	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.152	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1525	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.153	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1535	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.154	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1545	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.155	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.1555	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
