file_prefix,cutoff_type,cutoff_frequency,PID,propulsive_peakforce_rfd_slope_between_events,propulsive_peakforce_rfd_instantaneous_average_between_events,propulsive_peakforce_rfd_instantaneous_peak_between_events,braking_peakforce_rfd_slope_between_events,braking_peakforce_rfd_instantaneous_average_between_events,braking_peakforce_rfd_instantaneous_peak_between_events,braking_propulsive_rfd_slope_between_events,braking_propulsive_rfd_instantaneous_average_between_events,braking_propulsive_rfd_instantaneous_peak_between_events,braking_net_vertical_impulse,propulsive_net_vertical_impulse,braking_to_propulsive_net_vertical_impulse,total_net_vertical_impulse,peak_force,average_force_of_braking_phase,average_force_of_propulsive_phase,takeoff_velocity,jump_height_takeoff_velocity,jump_height_net_vertical_impulse,movement_time,unweighting_time,braking_time,propulsive_time,lowering_displacement,frame_start_of_unweighting_phase,frame_start_of_breaking_phase,frame_start_of_propulsive_phase,frame_peak_force,trial_type,trial_number
F01_INTf2,group_cutoff,26.648000000000003,F01,1381.8268729927543,1382.563656682212,3158.5952849383466,1017.734547140522,1018.5714598111701,3158.5952849383466,717.0647554690007,717.9843552983099,1897.871454873879,129.98393288131777,90.87601598086856,38.99688217747887,115.92786093187587,1075.6906159137768,625.656702908559,821.4301301143032,2.2759548769827687,0.26401481152200046,0.26401481152199946,0.974,0.408,0.31,0.256,-0.2607671685693921,1841,2657,3277,3789,INTf,2
F01_INTf3,group_cutoff,26.648000000000003,F01,1239.0577821157333,1241.2425677154106,2807.431220806553,1013.7983555069085,1015.2472552110906,3184.1689675119123,852.4971436294504,853.4190985192298,3184.1689675119123,133.29981121377347,94.27270873471298,38.89099693585822,117.1274023124497,1056.0461289546927,620.5244388926143,858.364048239551,2.302791985020025,0.270277824988403,0.27027782498840386,0.954,0.404,0.3205,0.2295,-0.25502670006101635,1897,2705,3346,3805,INTf,3
F01_INTf4,group_cutoff,26.648000000000003,F01,1402.3240637641509,1402.9645644335474,3907.0521643842803,1106.4955728181073,1107.5301158993998,3907.0521643842803,864.8328619044383,866.1892987869976,2131.784703889047,123.83381367296258,83.74109306074115,39.97016793180248,112.28839040323702,1069.328088897374,639.6871374413423,825.3198657815692,2.2087003929856373,0.24864207064092292,0.24864207064092333,0.925,0.409,0.284,0.232,-0.25039353760148125,1924,2742,3310,3774,INTf,4
F01_INTf5,group_cutoff,26.648000000000003,F01,1591.3388633220698,1592.202631040426,2816.994081704179,1067.6241708225498,1068.4009464329345,2816.994081704179,663.9610001421505,664.6707249123908,1815.3730385255185,132.6040348116188,97.51093285530956,34.98539400172458,118.58707484104626,1112.7565584011124,606.2983356105868,848.8134915841264,2.333747092099361,0.2775930422977687,0.2775930422977687,0.9705,0.395,0.325,0.2505,-0.2282306602190401,1881,2671,3321,3822,INTf,5
F02_CTRL1,group_cutoff,26.648000000000003,F02,6426.632289218646,6442.111540590528,10859.933724966133,3766.6043079902543,3770.611398535177,10859.933724966133,1845.0746611729792,1840.7945843280777,8291.921037489315,153.3659146856096,116.7573168588121,36.43815668685621,183.83399398753602,1927.8183755562447,920.5691232790454,1489.051315567901,2.4920031312773614,0.31651781887340336,0.3165178188734039,0.972,0.6525,0.1855,0.134,-0.17537942746599972,1842,3147,3518,3786,CTRL,1
F02_CTRL2,group_cutoff,26.648000000000003,F02,4626.766905790401,4638.362943242055,6669.225422378397,3076.5993236948257,3077.434498325753,6669.225422378397,2111.7352909030706,2105.8726287210984,6299.42598902178,146.99484712314012,112.5411355236535,34.223654039067654,182.97701435224698,1813.6684100599014,879.8888711536772,1440.0630995873712,2.4836312163139924,0.3143947002369684,0.31439470023696836,0.908,0.5535,0.2185,0.136,-0.21133478453954865,1944,3051,3488,3760,CTRL,2
F02_CTRL3,group_cutoff,26.648000000000003,F02,3645.142149794224,3655.977111585248,5122.180590739474,4623.470170169837,4629.495534682614,6774.0056381598115,5561.86643461175,5563.27851193927,6774.0056381598115,151.9823910103027,108.52066399042229,43.12111006738732,185.2904239220056,1832.7241562737854,1075.3044523731094,1489.176538218848,2.5179189456614406,0.3231353627380642,0.3231353627380648,1.217,0.977,0.1225,0.1175,-0.19190573458796625,1316,3270,3515,3750,CTRL,3
F02_CTRL4,group_cutoff,26.648000000000003,F02,5959.416974218624,5989.205588136388,11609.416425117292,4304.984713663832,4305.78276253832,11657.0236886926,3460.353506959543,3446.351109469833,11657.0236886926,126.55431884059243,99.35464671854079,26.872453825542188,183.33964867306628,1957.426098708927,864.3121749131546,1551.5461529819054,2.4910102597620996,0.31626565312130694,0.3162656531213065,0.891,0.604,0.19,0.097,-0.17348131243049608,1968,3176,3556,3750,CTRL,4
F02_CTRL5,group_cutoff,26.648000000000003,F02,3387.8303882671566,3391.873886407404,6249.939230381511,3325.0961590852157,3326.8547109108467,6300.291962645366,3256.621542919306,3255.886068375389,6300.291962645366,167.7008305897268,128.76776787763546,38.68428998661831,183.91920582927247,1785.72729994644,975.3840954585982,1397.8695430084304,2.4998793703430637,0.31852175669046034,0.31852175669046,1.2315,0.9115,0.153,0.167,-0.20466962163530683,1325,3148,3454,3788,CTRL,5
F02_EXTf1,group_cutoff,26.648000000000003,F02,4528.064050159086,4533.957019826854,6255.809533171356,3376.5437869563525,3377.7406445342604,6255.809533171356,2444.204937488231,2441.599545220654,3569.243449920439,150.482974806911,112.80791685254863,37.46032626157036,175.3301924223117,1798.5130487233932,936.4097787567408,1402.5526358248098,2.379099734681268,0.2884870309663852,0.2884870309663854,1.101,0.7825,0.176,0.1425,-0.1873699956502421,1565,3130,3482,3767,EXTf,1
F02_EXTf2,group_cutoff,26.648000000000003,F02,2369.538477835965,2370.2308963226333,5026.338150599506,2910.483267416508,2914.0979036039353,6737.188205830986,3498.176372145988,3504.965763366337,6737.188205830986,173.7720199804643,126.38911088597035,47.099868832929324,180.52425385213272,1707.2392752958647,1015.5952129540201,1361.0735762804334,2.446112343105166,0.3049676653971175,0.30496766539711734,1.103,0.765,0.162,0.176,-0.2181589846168535,1577,3107,3431,3783,EXTf,2
F02_EXTf3,group_cutoff,26.648000000000003,F02,3714.631293049803,3717.9174816155746,7321.407493225066,4100.246752046513,4105.576654419209,7321.407493225066,4487.285146316275,4494.666303875257,6244.74298669165,160.37571382287487,113.0955688772922,46.976456146184475,177.52926590031404,1835.2056221602763,1069.9938621277354,1431.8987061397802,2.411518881008932,0.2964028192386632,0.2964028192386622,1.004,0.7325,0.1355,0.136,-0.18368282182486587,1762,3227,3498,3770,EXTf,3
