file_prefix,cutoff_type,cutoff_frequency,PID,propulsive_peakforce_rfd_slope_between_events,propulsive_peakforce_rfd_instantaneous_average_between_events,propulsive_peakforce_rfd_instantaneous_peak_between_events,braking_peakforce_rfd_slope_between_events,braking_peakforce_rfd_instantaneous_average_between_events,braking_peakforce_rfd_instantaneous_peak_between_events,braking_propulsive_rfd_slope_between_events,braking_propulsive_rfd_instantaneous_average_between_events,braking_propulsive_rfd_instantaneous_peak_between_events,braking_net_vertical_impulse,propulsive_net_vertical_impulse,braking_to_propulsive_net_vertical_impulse,total_net_vertical_impulse,peak_force,maximum_force,average_force_of_braking_phase,average_force_of_propulsive_phase,takeoff_velocity,jump_height_takeoff_velocity,jump_height_net_vertical_impulse,movement_time,unweighting_time,braking_time,propulsive_time,lowering_displacement,frame_start_of_unweighting_phase,frame_start_of_breaking_phase,frame_start_of_propulsive_phase,frame_peak_force
F02_CTRL2,literature_cutoff,50,F02,4609.584367132324,4621.811491199748,6790.086429937743,3075.1022888069147,3075.858530212896,6790.086429937743,2136.9757454670626,2130.7191063368427,6573.912486976944,146.86334729340356,111.79640400313622,34.832612822283274,179.87966872194633,1813.3939077743357,1813.3939077743357,881.956205127515,1423.9856116558958,2.44036943206859,0.3035373580517213,0.3035373580517215,1.0255,0.548,0.22,0.2575,-0.21886033141726652,1910,3006,3446,3715
F02_CTRL2,no_cutoff,none,F02,4551.412985401461,4544.423346715329,10660.40100000007,3061.5092464986,3057.4021960784316,10660.40100000007,2133.7055545454546,2131.393570454545,10340.331999999937,149.58536133894785,114.52037867470786,34.83083178864403,179.8576647094099,1815.904907,1815.904907,881.9547937568182,1423.947644377432,2.4400483592230686,0.3034574921175937,0.3034574921175938,1.024,0.5465,0.22,0.2575,-0.21896102999688674,1913,3006,3446,3720
F02_CTRL2,participant_cutoff,26.6,F02,4607.228238331612,4619.125033664571,6668.478220910532,3076.6419452983305,3077.4763235090822,6668.478220910532,2140.8971434211644,2134.968362073113,6394.688392116688,146.86754197848688,111.79317927421033,34.83970971597567,180.06465462772303,1813.6741561865167,1813.6741561865167,881.9872440176405,1424.6769611326467,2.442884837544218,0.3041634214833557,0.3041634214833554,1.0255,0.548,0.22,0.2575,-0.2188498944046248,1910,3006,3446,3715
F02_CTRL2,group_cutoff,26.648,F02,4607.259159521192,4619.15635018519,6669.224688931601,3076.6162436222567,3077.4501396178803,6669.224688931601,2140.8368245840434,2134.9070245210482,6395.481873616343,146.8674866696952,111.79319674320891,34.83963900224575,180.06334839330106,1813.6744218745346,1813.6744218745346,881.986957750974,1424.6722023632492,2.4428670167091404,0.3041589837576664,0.30415898375766587,1.0255,0.548,0.22,0.2575,-0.21885031050470555,1910,3006,3446,3715
F02_CTRL2,trial_cutoff,25,F02,4623.148019677946,4634.952937162918,6642.472765682032,3084.794655864637,3085.560421974272,6642.472765682032,2145.663217363574,2139.689820446806,6366.035309095867,146.32461884493387,111.24702000349085,34.84287111053813,180.11432250768968,1813.6446837815517,1813.6446837815517,882.3627689170554,1424.8574806879633,2.4435626907666657,0.3043322438178811,0.30433224381788143,1.0255,0.5485,0.2195,0.2575,-0.21883220359383732,1910,3007,3446,3714
F02_CTRL3,literature_cutoff,50,F02,3804.5604029119936,3813.878624564723,5117.39578346326,4632.865958895282,4638.399622643695,6892.474618774955,5631.37128665596,5632.342743615607,6892.474618774955,153.889101521942,118.92376154370311,34.65758576920968,194.9505242109093,1832.9301813628256,1832.9301813628256,1031.884924287895,1469.8934675746445,2.6786172213087833,0.36569776851641117,0.36569776851640995,0.6115,0.243,0.1095,0.259,-0.1194664874601095,1716,2202,2421,2685
F02_CTRL3,trial_cutoff,30,F02,3803.5706085304337,3813.0054204397366,5113.314223011024,4631.647627591917,4637.331215164526,6823.304067824967,5629.877458789321,5631.039022503999,6823.304067824967,153.89312579572808,118.92558023362344,34.65977622196003,195.1002027570409,1832.8249097084877,1832.8249097084877,1031.894271335176,1470.4172406690984,2.6807157367682093,0.36627099191420603,0.3662709919142062,0.6115,0.243,0.1095,0.259,-0.11938984469012384,1716,2202,2421,2685
F02_CTRL3,participant_cutoff,26.6,F02,3803.2869148661243,3812.6814173966027,5124.990800105967,4630.23272629809,4635.909033239347,6773.128706574207,5627.098909942103,5628.2930085018315,6773.128706574207,153.89225684545318,118.92495855868755,34.65955903849351,195.17695800214727,1832.7210519102757,1832.7210519102757,1031.8900458163052,1470.6978484419976,2.6817803678818453,0.3665619745951318,0.36656197459513185,0.6115,0.243,0.1095,0.259,-0.11937091060515537,1716,2202,2421,2685
F02_CTRL3,group_cutoff,26.648,F02,3803.29672243419,3812.6918806064286,5124.700739392079,4630.261865474538,4635.938392218621,6774.005463447189,5627.151352975231,5628.345145942907,6774.005463447189,153.89228097744189,118.92496858953218,34.65957261210282,195.1756208348791,1832.7235244674623,1832.7235244674623,1031.8902027036017,1470.692946629559,2.681761840036755,0.36655690961658116,0.36655690961658083,0.6115,0.243,0.1095,0.259,-0.1193712224985089,1716,2202,2421,2685
F02_CTRL3,no_cutoff,none,F02,3867.484965517241,3864.1175057471255,8778.685999999987,4681.798808333334,4675.659181249999,10708.252000000095,5652.282429223745,5642.838986301369,10708.252000000095,152.20860737536,117.24308090064993,34.65758726611996,194.92074078241995,1835.874268,1835.874268,1031.889594694064,1469.8145938549321,2.6781772572358373,0.3655776463392086,0.365577646339208,0.611,0.2425,0.1095,0.259,-0.11951970916970986,1717,2202,2421,2682
