sport,cutoff_type,jump_type,trial_num_in_block,overall_recording_number,cutoff_frequency,PID,propulsive_peakforce_rfd_slope_between_events,propulsive_peakforce_rfd_instantaneous_average_between_events,propulsive_peakforce_rfd_instantaneous_peak_between_events,braking_peakforce_rfd_slope_between_events,braking_peakforce_rfd_instantaneous_average_between_events,braking_peakforce_rfd_instantaneous_peak_between_events,braking_propulsive_rfd_slope_between_events,braking_propulsive_rfd_instantaneous_average_between_events,braking_propulsive_rfd_instantaneous_peak_between_events,braking_net_vertical_impulse,propulsive_net_vertical_impulse,braking_to_propulsive_net_vertical_impulse,total_net_vertical_impulse,peak_force,maximum_force,average_force_of_braking_phase,average_force_of_propulsive_phase,takeoff_velocity,jump_height_takeoff_velocity,jump_height_net_vertical_impulse,movement_time,unweighting_time,braking_time,propulsive_time,lowering_displacement,frame_start_of_unweighting_phase,frame_start_of_breaking_phase,frame_start_of_propulsive_phase,frame_peak_force
FHOC,literature_cutoff,CMJ,5,10,50,P03,-1212.90369537761,-1217.0377531253557,3435.981924947351,1414.9798863576148,1427.7297128517446,13400.728331121441,4891.104371058006,4926.187943163226,13400.728331121441,203.70466576864453,111.3952947843343,91.53750311552682,132.3444153603085,1170.3917387543072,1438.4027019272107,1234.6549218990776,1085.8242346153077,1.9886206259923382,0.2015602443487339,0.20156024434873426,0.761,0.296,0.158,0.307,-0.3078451830048436,1238,1534,1692,1901
FHOC,literature_cutoff,CMJ,6,12,50,P03,-1886.292494497636,-1890.5691850901655,1807.6788430886809,1598.6997275767635,1614.9899436518058,11936.535409043892,6467.802335723266,6512.82787529839,11936.535409043892,209.01503402078458,122.0071862208371,86.09866807890396,133.97587255792916,1189.5824385498381,1574.0827608166717,1266.663438225979,1141.5538525633108,2.013269347046757,0.2065878421895043,0.20658784218950402,0.737,0.321,0.141,0.275,-0.2789961064977534,1262,1583,1724,1921
FHOC,literature_cutoff,CMJ,7,14,50,P03,-1466.108383302332,-1468.3802661812836,2172.001806121669,1536.1996885465542,1550.1512639720165,9912.485291881952,5619.338666261039,5655.354144980504,9912.485291881952,204.80151228430162,120.14689175110311,83.81410789343477,134.1311245257001,1193.2725225036077,1498.1571792172292,1213.8486516898913,1125.0663912637242,2.017228366587315,0.20740113572704008,0.20740113572704053,0.72,0.285,0.15,0.285,-0.28090940100657913,1279,1564,1714,1918
FHOC,literature_cutoff,CMJ,8,16,50,P03,-1840.1114031953273,-1843.4015003721845,2086.2832845676458,1578.9393194097256,1592.7563999340807,13884.315726070374,6113.930208420596,6150.438059368084,13884.315726070374,208.28033895459373,116.23488865265358,91.1686516689527,131.4971342236963,1178.0215010851548,1540.7861723858218,1289.4438315365296,1118.060330485244,1.974581709605051,0.19872441018892997,0.19872441018893025,0.708,0.279,0.144,0.285,-0.2859855440377482,1291,1570,1714,1905
FHOC,literature_cutoff,CMJ,9,19,50,P03,-1591.0780194535248,-1594.3186748683804,2067.006928450777,1564.1633022698675,1573.62783873062,8843.667922462977,5723.345044541612,5749.557333929302,8843.667922462977,207.36944184107728,121.6188831736987,84.86724697932364,134.27211609837667,1211.4025727807411,1541.2963461752672,1205.6960323054348,1125.707400372716,2.021078581716324,0.20819361026872926,0.2081936102687295,0.712,0.273,0.154,0.285,-0.27636104194671113,1287,1560,1714,1917
FHOC,literature_cutoff,CMJ,10,20,50,P03,-1318.3439059305854,-1321.6737126990927,1990.5609619286843,1531.9911654784814,1543.2327887854174,8059.045680602663,5049.809766268152,5079.035116566933,8059.045680602663,192.5952021418566,113.76187474364939,78.03454533664627,132.12311220274245,1192.8148341211008,1458.8446259353084,1148.1602235356436,1115.6846967649535,1.9887189589534175,0.20158017827221023,0.20158017827221045,0.732,0.287,0.158,0.287,-0.2688909368657108,1267,1554,1712,1907
FHOC,literature_cutoff,CMJ,1,3,50,P04,,,,7962.970219905848,8001.713097428847,11227.209997736325,7962.970219905848,8001.713097428847,11227.209997736325,58.28481924778328,,58.28481924778328,119.79960888546849,1366.3042754595724,1366.8716532572769,1012.7285848693556,1032.2719266653464,2.429834053735337,0.3009221982004027,0.30092219820040256,0.735,0.405,0.111,0.219,-0.26371153649142964,1264,1669,1780,1780
FHOC,literature_cutoff,CMJ,2,4,50,P04,,,,7877.73506377763,7915.862056070595,11293.104140512878,7877.73506377763,7915.862056070595,11293.104140512878,58.45977613257573,,58.45977613257573,119.31161405241224,1367.9235161370032,1368.0667804975762,1010.0248135596515,1023.0705174819047,2.417731509597893,0.29793199044355284,0.2979319904435533,0.69,0.356,0.112,0.222,-0.2649572827640205,1309,1665,1777,1777
FHOC,literature_cutoff,CMJ,3,5,50,P04,,,,8341.965618906042,8396.0000254877,15012.54049608187,8341.965618906042,8396.0000254877,15012.54049608187,68.8721518677523,,68.8721518677523,121.11385033867717,1418.1257716868533,1428.9023127677153,1102.2707737529474,1020.4257142293617,2.459092629844636,0.30821287268889946,0.30821287268889963,0.682,0.343,0.112,0.227,-0.281923582640206,1317,1660,1772,1772
FHOC,literature_cutoff,CMJ,4,8,50,P04,,,,7897.905688646111,7946.598426430608,13078.706508761097,7897.905688646111,7946.598426430608,13078.706508761097,65.67662934874423,,65.67662934874423,120.04737999886018,1378.7773229585355,1391.1678042413635,1067.8603883915177,1001.1296696518533,2.4399410374796138,0.30343079849016785,0.30343079849016835,0.682,0.337,0.113,0.232,-0.27753745324728835,1317,1654,1767,1767
FHOC,literature_cutoff,CMJ,5,10,50,P04,,,,8259.0484850985,8313.559431485877,13733.571706864459,8259.0484850985,8313.559431485877,13733.571706864459,66.26219823434852,,66.26219823434852,118.07763043832537,1400.548539884248,1409.4891300891331,1084.7631911916894,1003.1228765270154,2.3949005262106366,0.29233172938042734,0.292331729380427,0.658,0.318,0.111,0.229,-0.27820936294958154,1341,1659,1770,1770
FHOC,literature_cutoff,CMJ,6,15,50,P04,,,,9125.056274020037,9187.428023337076,16149.661076783377,9125.056274020037,9187.428023337076,16149.661076783377,69.91103496780579,,69.91103496780579,118.80980266476453,1455.2200145238467,1474.6838340067031,1141.852279352844,1007.743435321641,2.4083464001737527,0.2956234649964257,0.29562346499642594,0.663,0.328,0.107,0.228,-0.2821412211490009,1336,1664,1771,1771
FHOC,literature_cutoff,CMJ,7,17,50,P04,,,,7538.151954199779,7574.872098485625,11096.17735724547,7538.151954199779,7574.872098485625,11096.17735724547,65.5886758991948,,65.5886758991948,118.69014654854693,1388.1902993037988,1390.6799603596291,1033.8770581688402,989.1194271469346,2.4080108983318613,0.29554110532543415,0.2955411053254344,0.736,0.38,0.12,0.236,-0.2930460862560056,1263,1643,1763,1763
FHOC,literature_cutoff,CMJ,8,18,50,P04,,,,7443.594802187568,7474.243716734892,10895.766605353681,7443.594802187568,7474.243716734892,10895.766605353681,63.10086700315286,,63.10086700315286,117.73152143497924,1378.582464546569,1380.8518001791967,1013.1726899786419,982.8718681385869,2.388262877286607,0.29071353573013775,0.29071353573013753,0.707,0.349,0.12,0.238,-0.2944406502949035,1292,1641,1761,1761
FHOC,literature_cutoff,CMJ,9,20,50,P04,339.9188876747606,452.36064667180955,679.04762021231,5597.999684278486,5612.057261668284,7293.274815005367,5709.873743780692,5721.8380407107625,7293.274815005367,60.85408952438048,1.6114563701433355,58.43780858870198,118.09817152921194,1289.7665119397284,1289.7665119397284,900.8297119178337,958.3621968582779,2.396039806295909,0.29260992626679605,0.29260992626679644,0.771,0.38,0.141,0.25,-0.31439928051744487,1228,1608,1749,1752
FHOC,literature_cutoff,CMJ,10,21,50,P04,283.7853884748256,352.91408507903105,626.0061877174303,4988.985579052136,5005.373480492391,6679.592297686497,5141.7518190059445,5156.42735696685,6679.592297686497,69.01923570220649,3.165797876807721,65.06321586207908,118.1534349618983,1275.5924708630582,1275.5924708630582,908.6542327399602,939.2601507912213,2.3967582638537563,0.2927854319750903,0.2927854319750905,0.74,0.326,0.154,0.26,-0.326639481769484,1259,1585,1739,1744
FHOC,literature_cutoff,CMJ,1,3,50,P05,529.2360458240402,539.4112919977864,2457.854519082699,2727.9398905609573,2734.6283501984776,5716.191390613909,4362.873518698665,4366.969239629761,5716.191390613909,137.91629570956525,83.35342196159529,53.883590791403584,135.5607709032564,1343.3718815142695,1343.3718815142695,949.0915185810195,1173.9812790338635,2.2108511499693053,0.2491265447156269,0.24912654471562698,0.768,0.374,0.156,0.238,-0.23316045319509693,1231,1605,1761,1877
FHOC,literature_cutoff,CMJ,2,4,50,P05,799.1837841479233,836.5883014184915,2039.004296570667,3993.617798044446,4003.4043814530887,5989.327494905272,4557.341447555597,4562.254277929783,5989.327494905272,73.61163101869236,18.54737019878528,54.36704207390162,133.15070592465042,1321.8016056432273,1321.8016056432273,959.5901854869783,1144.5679387349655,2.1698833470949914,0.23997929357798997,0.23997929357799005,0.79,0.391,0.153,0.246,-0.25420022258675595,1209,1600,1753,1780
FHOC,literature_cutoff,CMJ,3,5,50,P05,661.3266078286983,737.9025280866481,1263.895752197015,5144.514422277392,5166.877592830898,8480.988014091505,5398.879688345404,5418.166958206458,8480.988014091505,66.93043426953521,5.353177749318809,60.816395645002494,132.6680535693892,1369.0939384993435,1369.0939384993435,1036.2951839741108,1156.3513893084064,2.160923797938535,0.2380016136848676,0.23800161368486733,0.723,0.341,0.141,0.241,-0.23704488369129198,1276,1617,1758,1766
FHOC,literature_cutoff,CMJ,4,7,50,P05,411.4670640541755,420.65655819715676,1980.5571125651477,2688.673348727359,2696.4514365638493,5919.132990467595,4254.252669440173,4261.06041544095,5919.132990467595,135.72301343162215,77.79190981712591,57.25338212580429,135.18515525293688,1324.8547365536358,1324.8547365536358,960.7980159158342,1160.5696621773154,2.207129389737032,0.24828848843226112,0.24828848843226103,0.778,0.375,0.16,0.243,-0.24159356182868608,1221,1596,1756,1866
FHOC,literature_cutoff,CMJ,5,9,50,P05,121.691244585066,127.65816917296291,1976.1017053329851,2008.688430517329,2017.5529102262194,6001.149463417125,3785.9764777326,3797.5700500554494,6001.149463417125,162.7543571939661,106.39434374187064,55.71149813929367,130.92841375661553,1270.5241376395759,1270.5241376395759,927.0695914014248,1107.57110099597,2.1360937887148213,0.2325635409880754,0.23256354098807586,0.812,0.38,0.172,0.26,-0.2497255298800497,1187,1567,1739,1901
FHOC,literature_cutoff,CMJ,6,12,50,P05,596.2362283076175,621.9200373315907,894.8688369860174,4290.414056707568,4302.61167046546,6648.178447751503,4679.274880749669,4690.052895005868,6648.178447751503,69.83383827886846,10.774610756800165,58.34678140753988,131.82190955090098,1323.535292596534,1323.535292596534,987.2941095239339,1107.5763006091015,2.1513934908541694,0.23590692928082005,0.23590692928082005,0.83,0.416,0.152,0.262,-0.2570839939094427,1169,1585,1737,1753
FHOC,literature_cutoff,CMJ,7,13,50,P05,231.3001493671436,289.89966279016807,531.9486786819762,5095.225113559956,5107.589265087506,6824.297138155263,5264.111397038873,5274.870154056163,6824.297138155263,62.65359145827268,3.028263168390923,58.869279603948165,127.07069080837407,1358.7592698296519,1358.7592698296519,1012.6873767426265,1106.2843219557788,2.0732704043708594,0.21908512587360382,0.21908512587360365,0.776,0.379,0.144,0.253,-0.24304382061742005,1223,1602,1746,1751
FHOC,literature_cutoff,CMJ,8,17,50,P05,610.9820921119011,671.5687749972209,1528.8513396001654,4544.658467963426,4554.51337527318,6945.727767608711,4890.184095572007,4895.582833405528,6945.727767608711,63.54970648293974,8.76992324953887,54.05525061235177,131.78555403833408,1333.9873345960946,1333.9873345960946,968.3978533172642,1122.82624934766,2.1521496990333246,0.23607279954379354,0.23607279954379326,0.836,0.435,0.148,0.253,-0.2613824413826145,1163,1598,1746,1759
FHOC,literature_cutoff,CMJ,9,23,50,P05,576.8123148275773,582.3161564714662,1757.7526468846481,2127.3308663064076,2131.0699908198185,5092.205409426184,3619.339283767169,3621.380284249365,5092.205409426184,138.66936017702818,93.75645406093422,44.33879008108023,128.50412904736623,1264.3041018654546,1264.3041018654546,881.7476388299295,1092.9056298593189,2.097245793078831,0.22418144325111392,0.22418144325111408,0.934,0.513,0.159,0.262,-0.2504944910632657,1065,1578,1737,1890
FHOC,literature_cutoff,CMJ,10,24,50,P05,1001.2675295021428,1006.9451106915728,1492.4944862993434,2748.174004209665,2761.6652362331397,8005.649620762444,4072.6259719617733,4092.0412791274,8005.649620762444,140.02786117842467,79.76528280249607,59.63831758558257,128.5459027062783,1342.0292124152998,1342.0292124152998,992.793280734823,1140.3530857320845,2.0983802279810018,0.22442403573810404,0.22442403573810404,0.756,0.364,0.153,0.239,-0.2302756761942382,1243,1607,1760,1876
FHOC,literature_cutoff,CMJ,2,5,50,P06,-1382.2938275375266,-1383.5527675729543,1726.5870444518514,1501.3458011902928,1503.8472382784773,10131.684310720651,5427.264813795638,5434.885800461752,10131.684310720651,221.7127967749135,142.14174576804072,78.66904722899179,153.8769156629173,1232.5391424610877,1546.0769874719938,1119.8217662055833,1144.671469199853,2.3469402679863385,0.2807405005859218,0.2807405005859218,0.847,0.372,0.166,0.309,-0.34962462632185476,1152,1524,1690,1916
FHOC,literature_cutoff,CMJ,3,6,50,P06,-1369.9296038796851,-1370.8122330467422,1055.3584475435782,1451.9671390445844,1458.9107972716765,8954.607159187319,5096.917098655099,5113.969711432968,8954.607159187319,213.9346623731974,133.5632826587297,79.51383983692396,150.27700442986566,1203.0920664723014,1501.2305534398606,1118.8360116329013,1134.1867313988437,2.2927767846227027,0.26793197676375224,0.26793197676375186,0.859,0.383,0.168,0.308,-0.339082927253401,1140,1523,1691,1908
FHOC,literature_cutoff,CMJ,4,11,50,P06,400.0126469518688,453.8005386615904,760.4551846000832,4788.591843407641,4796.331864416957,8307.703905261355,4968.241284198228,4974.096304652556,8307.703905261355,84.09479178873244,5.115327799821277,78.12900267965694,153.2513632338395,1497.4089833830792,1497.4089833830792,1103.130076870085,1169.8263101604095,2.335386788524596,0.2779832544350268,0.2779832544350267,0.797,0.334,0.171,0.292,-0.31676281686719165,1202,1536,1707,1714
FHOC,literature_cutoff,CMJ,5,12,50,P06,-1421.2053919331768,-1420.1316971279107,1527.183991808095,1576.318600681738,1580.3703172131097,9188.029415286961,5702.780200904867,5710.931531760489,9188.029415286961,207.24437767309618,137.60243622510626,68.76531699057024,151.17313811609077,1219.3394677092267,1521.6755864950082,1093.0830968783123,1163.1371109344632,2.3038310216344744,0.270521782683249,0.2705217826832485,0.906,0.46,0.154,0.292,-0.32803939332007165,1093,1553,1707,1919
FHOC,literature_cutoff,CMJ,6,14,50,P06,-557.2268088710591,-557.0232554450366,920.2329229795141,1404.342080730632,1407.7809389013387,5889.597683592816,3556.0630565692218,3563.0508459649636,5889.597683592816,195.8671948003107,125.79673417278937,69.37414596800798,145.35502426472922,1219.86082170892,1339.7600250018281,999.0233529730417,1117.6059968996408,2.216594012850639,0.25042247797172773,0.25042247797172784,0.899,0.395,0.196,0.308,-0.3261333464418116,1100,1495,1691,1906
FHOC,literature_cutoff,CMJ,7,15,50,P06,-1672.408919828145,-1672.7781693423717,1399.479999862262,1386.6249495215125,1391.3295083980804,9060.465151595068,5299.342689387354,5310.5370031823795,9060.465151595068,223.11528617650757,139.69280718197962,82.51070721382413,153.8305558819979,1186.555470175526,1554.5737671135437,1125.1185636056805,1158.6620341435757,2.3478316286897303,0.2809537898407682,0.2809537898407687,0.803,0.332,0.172,0.299,-0.34192135692397896,1196,1528,1700,1920
FHOC,literature_cutoff,CMJ,8,18,50,P06,-1393.963861407775,-1393.5376234781102,1830.5857499314006,1513.1307980705665,1518.3293394038299,8263.721038708929,5579.383454682677,5591.257179890595,8263.721038708929,212.07695144726532,137.9783982433123,73.21811796069316,153.98155584293914,1214.6180803952582,1522.7770824197573,1108.3402078927165,1159.4674956101303,2.3523398412557253,0.28203377822421055,0.28203377822421055,0.866,0.409,0.158,0.299,-0.3354455822159443,1133,1542,1700,1921
FHOC,literature_cutoff,CMJ,9,19,50,P06,-1244.4811044082269,-1244.2998749163573,1616.6814132835716,1451.5803130632473,1456.7943761707074,7322.984046327183,4840.914666455958,4852.455720394447,7322.984046327183,214.1461782329689,137.11671034365565,76.18348305444073,152.16881128294565,1215.2941951480739,1489.2286572742794,1080.731185351337,1156.4368320835838,2.3216406145386284,0.27472044562055553,0.27472044562055586,0.878,0.405,0.175,0.298,-0.3335571543383812,1121,1526,1701,1921
