sport,cutoff_type,jump_type,trial_num_in_block,overall_recording_number,cutoff_frequency,PID,propulsive_peakforce_rfd_slope_between_events,propulsive_peakforce_rfd_instantaneous_average_between_events,propulsive_peakforce_rfd_instantaneous_peak_between_events,total_net_vertical_impulse,peak_force,maximum_force,average_force_of_propulsive_phase,takeoff_velocity,jump_height_takeoff_velocity,jump_height_net_vertical_impulse,movement_time,propulsive_time,frame_start_of_propulsive_phase,frame_peak_force,frame_of_potential_unweighting_start
FHOC,literature_cutoff,SQT,3,5,50,P02,1515.4419879879583,1516.895342408012,4120.604418854346,116.95463040336507,1178.6985126037498,1178.6985126037498,830.7233718827438,1.968544845083014,0.19751115224785462,0.19751115224785482,0.477,0.477,1522,1902,-1
FHOC,literature_cutoff,SQT,4,8,50,P02,1583.22176326512,1584.708286457494,4206.991751707974,118.8918047687916,1147.3582871439298,1147.3582871439298,872.6661729167652,2.0045054051765723,0.20479316612548898,0.20479316612548898,0.437,0.437,1562,1910,1319
FHOC,literature_cutoff,SQT,5,9,50,P02,1725.5465528756522,1729.394908006283,4150.618478109944,118.42081214166885,1152.9409083082423,1152.9409083082423,869.9997379101527,2.0012308130306686,0.20412460586255818,0.20412460586255826,0.412,0.412,1587,1901,-1
FHOC,literature_cutoff,SQT,6,13,50,P02,1586.5215176617896,1587.5789722149232,3428.0114593576873,115.22767193055559,1155.3110345913128,1155.3110345913128,845.7912980969519,1.941097706026883,0.1920418095995325,0.19204180959953263,0.456,0.456,1543,1896,1271
FHOC,literature_cutoff,SQT,7,15,50,P02,1580.8852968008293,1582.055289285752,3918.9476111400872,115.41208833090599,1178.2432604714215,1178.2432604714215,836.2438260166222,1.9457853073717293,0.1929704618951934,0.1929704618951938,0.467,0.467,1532,1896,1348
FHOC,literature_cutoff,SQT,8,18,50,P02,1619.0232907033255,1620.2854322362598,4218.915784980636,116.20313688012826,1176.5951093136937,1176.5951093136937,840.7817977369491,1.959173483962487,0.19563510398887407,0.19563510398887443,0.464,0.464,1535,1898,1279
FHOC,literature_cutoff,SQT,9,19,50,P02,1603.1191070914053,1603.6635838152888,3737.444192061317,115.32815312532631,1182.8885009734495,1182.8885009734495,832.1476777911084,1.9475946931088282,0.1933295152204725,0.19332951522047237,0.471,0.471,1528,1898,1314
FHOC,literature_cutoff,SQT,10,21,50,P02,1490.2204973340554,1492.0959587759319,4135.884711862134,120.96823023132447,1136.7362087975714,1136.7362087975714,854.6870195536293,2.0426604928940733,0.21266370485373387,0.21266370485373395,0.467,0.467,1532,1902,1260
FHOC,literature_cutoff,SQT,1,4,50,P03,2502.1909835958004,2509.2454501622437,7416.073301956756,124.87970248522883,1273.5646485348407,1273.5646485348407,1040.9044674972542,1.8738640910709197,0.1789687376047423,0.1789687376047423,0.341,0.341,1658,1899,-1
FHOC,literature_cutoff,SQT,2,7,50,P03,4915.924959441328,4935.368181868399,8337.710077573254,132.8840431424128,1231.677862245122,1243.6972758958761,1054.793375620859,2.000135095987621,0.20390114180435323,0.20390114180435334,0.359,0.359,1640,1758,1470
