acceleration,velocity,displacement
-0.022879780936786553,0.0,0.0
-0.021712852027634108,-2.229631648221033e-05,-1.1148158241105165e-08
-0.02060468919682417,-4.345508709443947e-05,-4.402386002943006e-08
-0.01960510407819559,-6.355998373194935e-05,-9.753139544262448e-08
-0.018748041076932394,-8.273655630951335e-05,-1.7067966546335581e-07
-0.01804798497360349,-0.00010113456933478129,-2.6261522828550315e-07
-0.01749985320912144,-0.00011890848842614375,-3.726367571659657e-07
-0.01708159881441342,-0.00013619921443791118,-5.001906085979931e-07
-0.016758307561696297,-0.00015311916762596604,-6.448497996299317e-07
-0.016486655396909893,-0.00016974164910526913,-8.062802079955493e-07
-0.01621902434121297,-0.00018609448897433057,-9.84198277035349e-07
-0.015907091261354877,-0.00020215754677561449,-1.1783242949103216e-06
-0.015505081202518922,-0.00021786363300755138,-1.3883348848019045e-06
-0.014972983619877974,-0.00023310266541874984,-1.6138180340150553e-06
-0.014279803996129242,-0.00024772905922675347,-1.854233896337807e-06
-0.013406463342979388,-0.00026157219289630777,-2.1088845223993377e-06
-0.012347594108595013,-0.000274449221622095,-2.376895229658539e-06
-0.011111580406279723,-0.00028617880887953236,-2.6572092449093524e-06
-0.009718830580691588,-0.00029659401437301803,-2.9485956565356276e-06
-0.008199106447017093,-0.0003055529828868724,-3.249669155165573e-06
-0.006589225915407801,-0.0003129471490680848,-3.5589192211430517e-06
-0.004932267677500849,-0.0003187078958645391,-3.874746743609363e-06
-0.003278596968114758,-0.0003228133281873469,-4.1955073556353065e-06
-0.0016879694858290008,-0.0003252966114143188,-4.519562325436139e-06
-0.00023116887394738364,-0.000326256180594207,-4.845338721440402e-06
0.0010104891256298213,-0.0003258665204683658,-5.171400071971688e-06
0.001948848024923835,-0.00032438685189308897,-5.496526758152416e-06
0.0024959025509514858,-0.0003221644766051513,-5.819802422401536e-06
0.002573382759001659,-0.0003196298339501747,-6.140699577679199e-06
0.0021237743049612023,-0.00031728125541819326,-6.4591551223633835e-06
0.001121375029191883,-0.00031565868075111674,-6.775625090448038e-06
-0.0004182934063852842,-0.00031530713993971343,-7.091108000793453e-06
-0.0024326481435278206,-0.00031673261071467,-7.407127876120644e-06
-0.004811566229194126,-0.00032035471790103096,-7.725671540428495e-06
-0.0074032765777399,-0.00032646213930449797,-8.049079969031258e-06
-0.010026398632759394,-0.0003351769769097476,-8.379899527138381e-06
-0.012486614841652732,-0.0003464334836469537,-8.720704757416731e-06
-0.014595525164782729,-0.00035997455365017144,-9.073908776065295e-06
-0.016188914654586762,-0.00037536677355985617,-9.441579439670309e-06
-0.017142021275589475,-0.0003920322415249443,-9.825278947212708e-06
-0.01738021004224039,-0.00040929335718385923,-1.022594174656711e-05
-0.016884432324768092,-0.00042642567836736345,-1.064380126434272e-05
-0.01569170335053505,-0.000442713746205015,-1.107837097662891e-05
-0.013891286761393673,-0.0004575052412609794,-1.1528480470361907e-05
-0.011617198402904379,-0.00047025948384312843,-1.1992362832913962e-05
